"dataset","svm","knn","mlp","rf","tree","nb"
"02a",0.91677,0.92652,0.15228,0.91818,0.90677,0.528
"02b",0.93261,0.95313,0.09887,0.93493,0.93158,0.439
"subcl5",0.56153,0.87068,0.12146,0.97646,0.98154,0.577
"subcl5-noise",0.82082,0.81127,0.07886,0.88358,0.86098,0.563
"clover",0.51256,0.91159,0.60897,0.87538,0.85646,0.459
"clover-noise",0.4632,0.71061,0.29412,0.69969,0.70438,0.493
"paw-2d",0.61289,0.62043,0.29645,0.61553,0.67401,0.485
"paw-2d-border-dense-center",0.76116,0.75824,0.43106,0.70736,0.75919,0.482
"paw-2d-only-border",0.22197,0.51064,0.18611,0.48292,0.612,0.489
"paw-2d-very-dense-center",0.96851,0.98288,0.58875,0.9193,0.91304,0.449
"gaussian_overlap_1std",0.461,0.51866,0.45143,0.4824,0.52376,0.659
"gaussian_overlap_2std",0.69218,0.70263,0.74708,0.70543,0.71013,0.704
"gaussian_overlap_3std",0.89629,0.90197,0.90799,0.90474,0.89558,0.782
"gaussian_overlap_4std",0.98769,0.98509,0.98826,0.98876,0.98664,0.867
"local_imbalance_degree_005",0.98482,0.98119,0.98044,0.98488,0.98482,0.8
"local_imbalance_degree_01",0.96914,0.96895,0.96469,0.96905,0.9693,0.798
"local_imbalance_degree_02",0.92126,0.91871,0.92318,0.93647,0.92978,0.776
"local_imbalance_degree_05",0.81523,0.81857,0.81821,0.82528,0.84049,0.628
"uniform_overlap_10",0.81266,0.83935,0.75662,0.84577,0.86621,0.729
"uniform_overlap_20",0.7557,0.82565,0.66614,0.84898,0.86677,0.719
"uniform_overlap_40",0.64373,0.6641,0.2084,0.65864,0.67811,0.627
"uniform_overlap_60",0.45598,0.5596,0.12119,0.52826,0.5714,0.582
"uniform_overlap_80",0.40472,0.47085,0,0.4355,0.45372,0.556
"uniform_only_boundary_no_overlap",0.99788,0.92828,0.39751,1,1,0.68
"multi_model_no_overlap",0.92793,0.95812,0.76658,0.99625,0.99783,0.674
"multi_modal_overlap",0.61426,0.69123,0.43092,0.74992,0.77163,0.657
"appendicitis",0.71865,0.74543,0.6886,0.68933,0.72763,0.57
"australian",0.35775,0.61541,0.27943,0.86486,0.84428,0.818
"banana",0.07891,0.89245,0.81033,0.89161,0.8884,0.436
"bands",0.49472,0.64217,0.21983,0.68265,0.62266,0.588
"bupa",0.49348,0.62764,0.38416,0.70781,0.65992,0.595
"coil-2000",0.55778,0.36712,0.04648,0.27209,0.34449,0.648
"haberman",0.51188,0.55942,0.29292,0.5189,0.49396,0.62
"heart",0.64355,0.64963,0.54325,0.83231,0.80243,0.813
"hepatitis",0.75444,0.65395,0.53494,0.65946,0.7057,0.788
"ionosphere",0.90467,0.81358,0.90044,0.92638,0.88642,0.734
"monk-2",0.97313,0.98435,0.92994,1,1,0.721
"phoneme",0.54919,0.87375,0.77998,0.88907,0.83712,0.745
"pima",0.5471,0.68865,0.23031,0.7254,0.71189,0.631
"saheart",0.54348,0.61092,0.50139,0.61379,0.63432,0.649
"spectfheart",0.6216,0.62053,0,0.53787,0.75559,0.738
"sonar",0.84619,0.82198,0.48243,0.83048,0.91142,0.851
"spambase",0,0.81106,0.87896,0.95246,0.59344,0.67
"titanic",0.77442,0.78938,0.78299,0.80257,0.8045,0.752
"wdbc",0.87377,0.924,0.82186,0.96586,0.94292,0.852
"wisconsin",0.76982,0.97345,0.96897,0.97608,0.94559,0.897
"usps",0.95202,0.94546,0.94069,0.83002,0.78528,0.831
