dataset,svm_gmean,svm_f1,svm_rec,knn_gmean,knn_f1,knn_rec,rf_gmean,rf_f1,rf_rec,mlp_gmean,mlp_f1,mlp_rec,mean_gmean,mean_f1,mean_rec
appendicitis,0.7724549394456874,0.7624278133405923,0.711764705882353,0.8982758381768665,0.9103215633556191,0.9823529411764707,0.9604070799637505,0.9103215633556191,1.0,0.6799389965451799,0.6667685712277742,0.6117647058823529,0.8277692135328711,0.8259047980063073,0.8264705882352942
australian,0.5477159840437182,0.46168376926829546,0.3014866712235133,0.6542677819844274,0.6484190773913806,0.6357484620642515,0.8959734628962777,0.6484190773913806,0.892822966507177,0.2358577847411416,0.28438455334378165,0.2911654135338345,0.5834537534163913,0.5725495494745259,0.5303058783321941
bands,0.7989471945633542,0.7788946974492319,0.6391304347826088,0.5959767640667166,0.6334875938936644,0.6847826086956522,0.8612516886175026,0.6334875938936644,0.8586956521739131,0.09347826086956523,0.4134336677814939,0.5717391304347826,0.5874134770292847,0.6719321773723047,0.6885869565217392
bupa,0.6611528708700926,0.6077874965444561,0.44000000000000006,0.668320632013678,0.6729113591176384,0.6799999999999999,0.7995393061001658,0.6729113591176384,0.8275,0.27053433259285675,0.3355417716611747,0.36250000000000004,0.5998867853941983,0.6055616262755005,0.5775
haberman,0.9329105054417406,0.9309660248899627,0.8933333333333333,0.8117249174391411,0.8270582879418656,0.8755555555555554,0.8302368170963138,0.8270582879418656,0.9222222222222223,0.0,0.4666666666666667,0.7,0.6437180599942989,0.7683950845221964,0.8477777777777777
heart,0.648054071369196,0.6287290814400728,0.5900000000000001,0.7033578396846352,0.6998893545275389,0.6933333333333334,0.8560472412194595,0.6998893545275389,0.8466666666666667,0.16811600211602706,0.3677985285795133,0.4666666666666666,0.5938937885973294,0.6378686451689132,0.6491666666666667
hepatitis,0.9925820099772551,0.9923076923076923,0.9857142857142858,0.7992280216024934,0.8362271712035337,0.9401098901098901,0.9723222744682831,0.8362271712035337,1.0,0.0688020916153782,0.2682520325203252,0.36153846153846153,0.7082335994158524,0.7681517504629142,0.8218406593406593
ionosphere,0.8879549890063372,0.8942550830630516,0.9311111111111112,0.8428704475759389,0.8704431899020031,0.9777777777777779,0.9531394242701884,0.8704431899020031,0.9488888888888889,0.9507192121046707,0.951985591808848,0.9688888888888888,0.9086710182392838,0.9174754113620357,0.9566666666666667
monk-2,0.8060328144378216,0.8037752319813576,0.7897584541062802,0.9844892598439758,0.984316743138905,0.9693236714975845,1.0,0.984316743138905,1.0,0.8920253798977467,0.8884935442580086,0.8635265700483092,0.920636863544886,0.9191463798445678,0.9056521739130434
pima,0.8338784606000427,0.8200182227374597,0.696,0.8054699950085926,0.8248536187805733,0.8930000000000001,0.8587406491733345,0.8248536187805733,0.916,0.0,0.3333333333333333,0.5,0.6245222761954925,0.7116982015723345,0.75125
saheart,0.838715972746433,0.8252242847735067,0.705,0.7043126061590176,0.7008805037721203,0.6905464480874317,0.8079657705297031,0.7008805037721203,0.8706284153005465,0.06012282510295619,0.4011261298554116,0.5816666666666667,0.6027792936345274,0.6872904834587966,0.7119603825136611
sonar,0.793302220318403,0.807633393039563,0.8470355731225296,0.7934289672718693,0.8117555227264353,0.8598814229249012,0.859357604585355,0.8117555227264353,0.8828063241106721,0.6142403566587239,0.7601870615765158,0.8505928853754942,0.7650822872085878,0.8112297476658711,0.8600790513833992
spectfheart,0.9927847186015774,0.9931016042780749,1.0,0.8819496956063512,0.8747394151604677,0.7784606866002214,0.9383405808352794,0.8747394151604677,0.8915836101882615,0.0,0.134375,0.2,0.703268748760802,0.7345995656864467,0.7175110741971207
titanic,0.796605184054762,0.786559424707421,0.7403669724770643,0.7886088899494044,0.7873895488449814,0.7807339449541285,0.8603205215489934,0.7873895488449814,0.8917431192660551,0.7915645931242198,0.7809394952065494,0.7339449541284404,0.8092747971693449,0.80506412225593,0.7866972477064221
wdbc,0.7854389271595453,0.762787670194599,0.6176447574334898,0.943844115884465,0.9441476598664235,0.9497261345852896,0.9774858573745216,0.9441476598664235,0.9887910798122066,0.0,0.13333188437296242,0.2,0.676692225104633,0.7045220212081299,0.6890404929577465
wisconsin,0.974577851383116,0.0,0.0,0.9812996569880488,0.0,0.0,0.9830199093183456,0.0,0.0,0.38812618022529555,0.0,0.0,0.8317558994787015,0.0,0.0
usps,0.845223702576481,0.8465814581376971,0.8541666666666666,0.9714312513415304,0.9714667160718268,0.9712499999999998,0.9891574541131414,0.9714667160718268,0.9875,0.9872159265474212,0.9874467148187138,0.9974999999999999,0.9482570836446436,0.9486590469062458,0.9526041666666667
